timestamp,HA_positive,HA_negative,HA_neutral,SMA_72H_positive,SMA_72H_negative,SMA_72H_neutral,EMA_72H_positive,EMA_72H_negative,EMA_72H_neutral
2024-07-02 12:00:00+00:00,,,,0.3784928620875219,0.3014199347275406,0.32008720635023,0.29933196570343473,0.3736489173632538,0.3270191290994173
2024-07-02 11:00:00+00:00,0.14115798819693734,0.47512395068770275,0.3837180672465668,0.3784928620875219,0.3014199347275406,0.32008720635023,0.29933196570343473,0.3736489173632538,0.3270191290994173
2024-07-02 10:00:00+00:00,,,,0.4058776552287432,0.28137716365521415,0.3127451839391142,0.3459238299006137,0.3210790448497569,0.3329971372717826
2024-07-02 09:00:00+00:00,,,,0.4058776552287432,0.28137716365521415,0.3127451839391142,0.3459238299006137,0.3210790448497569,0.3329971372717826
2024-07-02 08:00:00+00:00,0.20150288846343756,0.0017516753432573501,0.7967454493045807,0.4058776552287432,0.28137716365521415,0.3127451839391142,0.3459238299006137,0.3210790448497569,0.3329971372717826
2024-07-02 07:00:00+00:00,,,,0.4229088857925187,0.30467928768121055,0.272411828491992,0.37681379789245345,0.35718539574587177,0.26600081742298853
2024-07-02 06:00:00+00:00,,,,0.4229088857925187,0.30467928768121055,0.272411828491992,0.37681379789245345,0.35718539574587177,0.26600081742298853
2024-07-02 05:00:00+00:00,,,,0.4229088857925187,0.30467928768121055,0.272411828491992,0.37681379789245345,0.35718539574587177,0.26600081742298853
2024-07-02 04:00:00+00:00,,,,0.4229088857925187,0.30467928768121055,0.272411828491992,0.37681379789245345,0.35718539574587177,0.26600081742298853
2024-07-02 03:00:00+00:00,0.8503652215003967,0.0018768291920423,0.1477579921483993,0.4229088857925187,0.30467928768121055,0.272411828491992,0.37681379789245345,0.35718539574587177,0.26600081742298853
2024-07-02 02:00:00+00:00,0.08453622541856015,0.022584271151572452,0.8928794860839844,0.4043238277182631,0.3178446119633483,0.2778315605069308,0.33827156476219905,0.37988091478291475,0.28184752810178854
2024-07-02 01:00:00+00:00,0.3161174058914184,0.5574679970741272,0.1264145821332931,0.4347797898420443,0.3459646444216127,0.21925556759483047,0.3984201019263701,0.4343587882495259,0.167221120428236
2024-07-02 00:00:00+00:00,,,,0.4407129090395756,0.33538947678898695,0.22389761686790735,0.41361286103694467,0.41402772684428363,0.17235942474891228
2024-07-01 23:00:00+00:00,,,,0.4407129090395756,0.33538947678898695,0.22389761686790735,0.41361286103694467,0.41402772684428363,0.17235942474891228
2024-07-01 22:00:00+00:00,,,,0.4407129090395756,0.33538947678898695,0.22389761686790735,0.41361286103694467,0.41402772684428363,0.17235942474891228
2024-07-01 21:00:00+00:00,,,,0.4407129090395756,0.33538947678898695,0.22389761686790735,0.41361286103694467,0.41402772684428363,0.17235942474891228
2024-07-01 20:00:00+00:00,0.9901783466339112,0.0032935196068137,0.006528150755912,0.4407129090395756,0.33538947678898695,0.22389761686790735,0.41361286103694467,0.41402772684428363,0.17235942474891228
2024-07-01 19:00:00+00:00,0.8179545998573303,0.0290097724646329,0.1530356705188751,0.411793675481979,0.35286821137752233,0.23533811508432814,0.3576772783085816,0.45063160421092546,0.1916911290627013
2024-07-01 18:00:00+00:00,0.7651945948600769,0.2262835651636123,0.0085218260064721,0.38922917968334836,0.3708603468726829,0.2399104731157422,0.3090042307533073,0.49289603937882515,0.19809973713449636
2024-07-01 17:00:00+00:00,0.0089203501120209,0.9681923389434814,0.0228873081505298,0.36711356702589376,0.3793648634438047,0.2535215700045228,0.25462583344739115,0.5214817570086875,0.22389241850991834
2024-07-01 16:00:00+00:00,0.3264603377319872,0.5179132930934429,0.15562635660171503,0.3895006430830108,0.3425631462250749,0.26793621137039736,0.28594242476171733,0.4595923792403526,0.25446520562932556
2024-07-01 15:00:00+00:00,0.09691056981682775,0.3191498816013336,0.5839395821094513,0.3985064009902999,0.3175131252438795,0.28398047633735196,0.2796277572676036,0.4166282849542666,0.3037439734907797
2024-07-01 14:00:00+00:00,0.19294593553058795,0.5526772671534369,0.2543768224616845,0.44877237285254523,0.31724033251763706,0.23398729204200208,0.34575895203595886,0.42860941519157314,0.2256316409619824
2024-07-01 13:00:00+00:00,,,,0.5340478519598643,0.2387613543057038,0.22719078190210792,0.493280793616333,0.2842819490234554,0.222437243523941
2024-07-01 12:00:00+00:00,0.5670554687579473,0.037449774982330035,0.3954947193463643,0.5340478519598643,0.2387613543057038,0.22719078190210792,0.493280793616333,0.2842819490234554,0.222437243523941
2024-07-01 11:00:00+00:00,0.0885958522558212,0.9041149616241456,0.0072891572490334,0.5175440435608228,0.3394171439673907,0.14303881317997966,0.41008840231337385,0.47160406425679824,0.11830753563344872
2024-07-01 10:00:00+00:00,,,,0.6033336818218231,0.22647758043603966,0.1701887443661689,0.5716932482189602,0.2521235907513556,0.1761831736399067
2024-07-01 09:00:00+00:00,0.6399197578430176,0.2113421410322189,0.1487381607294082,0.6033336818218231,0.22647758043603966,0.1701887443661689,0.5716932482189602,0.2521235907513556,0.1761831736399067
2024-07-01 08:00:00+00:00,0.5347734093666077,0.0117601100355386,0.4534664154052734,0.5941871628165245,0.23026144028699488,0.17555139027535907,0.5807696726322175,0.20072577265556896,0.2185045342370867
2024-07-01 07:00:00+00:00,,,,0.6139917472998301,0.3030952170374803,0.08291304856538767,0.708858422935009,0.22738950527855192,0.0637520712334662
2024-07-01 06:00:00+00:00,,,,0.6139917472998301,0.3030952170374803,0.08291304856538767,0.708858422935009,0.22738950527855192,0.0637520712334662
2024-07-01 05:00:00+00:00,,,,0.6139917472998301,0.3030952170374803,0.08291304856538767,0.708858422935009,0.22738950527855192,0.0637520712334662
2024-07-01 04:00:00+00:00,,,,0.6139917472998301,0.3030952170374803,0.08291304856538767,0.708858422935009,0.22738950527855192,0.0637520712334662
2024-07-01 03:00:00+00:00,0.8776274621486664,0.00284805221599525,0.1195244775153696,0.6139917472998301,0.3030952170374803,0.08291304856538767,0.708858422935009,0.22738950527855192,0.0637520712334662
2024-07-01 02:00:00+00:00,,,,0.0867203176021575,0.9035895466804504,0.0096901906654238,0.0867203176021575,0.9035895466804504,0.0096901906654238
2024-07-01 01:00:00+00:00,0.0867203176021575,0.9035895466804504,0.0096901906654238,0.0867203176021575,0.9035895466804504,0.0096901906654238,0.0867203176021575,0.9035895466804504,0.0096901906654238
2024-07-01 00:00:00+00:00,,,,,,,,,
